,om,yr,mo,dy,date,time,tz,st,stf,mag,inj,fat,permanent_fat,mobile_fat,other_fat,unknown_fat,loss,closs,slon,slat,elon,elat,len,wid,kind,stroke,DateTim,Hour,Year,Length,Width,cas
2,6,1995,1,6,1995-01-06,22:15:00,3,NC,37,0,3,1,0,0,0,1,5,0,-78.55,34.7,-78.54,34.71,2,150,Tornado,#888888,1995-01-07,22,1995,3218.68,107.7252121,4
7,12,1995,1,7,1995-01-07,3:50:00,3,FL,12,2,20,1,0,0,1,0,6,0,-82.12,29,-81.92,29,12,440,Tornado,#008000,1995-01-07,3,1995,19312.08,315.9939555,21
8,27,1995,1,18,1995-01-18,13:55:00,3,LA,22,1,0,1,0,0,0,1,0,0,-92.5,31.15,-92.35,31.2,5,20,Tornado,#0000FF,1995-01-18,13,1995,8046.7,14.36336161,1
10,41,1995,2,16,1995-02-16,4:59:00,3,AL,1,3,130,6,1,5,0,0,6,0,-86.58,34.25,-86.32,34.27,14,703,Tornado,#FFAA00,1995-02-16,4,1995,22530.76,504.8721607,136
15,102,1995,4,11,1995-04-11,4:15:00,3,MS,28,1,0,1,0,1,0,0,0,0,-90.05,31.12,-89.95,31.12,5,30,Tornado,#0000FF,1995-04-11,4,1995,8046.7,21.54504242,1
25,232,1995,5,7,1995-05-07,0:40:00,3,TX,48,2,12,1,0,0,0,1,5,0,-102,34.98,-101.87,35.17,12,200,Tornado,#008000,1995-05-07,0,1995,19312.08,143.6336161,13
26,240,1995,5,7,1995-05-07,15:10:00,3,TX,48,3,11,2,0,0,0,2,6,0,-97.53,33.52,-97.43,33.8,26,880,Tornado,#FFAA00,1995-05-07,15,1995,41842.84,631.9879109,13
27,241,1995,5,7,1995-05-07,15:20:00,3,TX,48,3,6,3,0,0,0,3,8,0,-97.43,33.8,-97.17,34.2,34.1,880,Tornado,#FFAA00,1995-05-07,15,1995,54878.494,631.9879109,9
45,366,1995,5,13,1995-05-13,21:58:00,3,IN,18,2,10,3,3,0,0,0,6,0,-86.9,39.98,-86.57,39.97,14,250,Tornado,#008000,1995-05-14,21,1995,22530.76,179.5420202,13
57,474,1995,5,18,1995-05-18,15:52:00,3,TN,47,4,32,3,1,0,2,0,6,0,-87.48,35,-87.17,35.35,29,1000,Tornado,#FF0000,1995-05-18,15,1995,46670.86,718.1680806,35
59,481,1995,5,18,1995-05-18,16:33:00,3,AL,1,4,55,1,0,1,0,0,6,0,-87.03,34.83,-86.25,34.8,39,1300,Tornado,#FF0000,1995-05-18,16,1995,62764.26,933.6185048,56
67,597,1995,5,29,1995-05-29,16:06:00,3,MA,25,4,24,3,0,0,3,0,7,0,-73.43,42.2,-73.17,42.17,11.5,300,Tornado,#FF0000,1995-05-29,16,1995,18507.41,215.4504242,27
89,1071,1995,10,4,1995-10-04,11:30:00,3,FL,12,2,3,1,1,0,0,0,5,0,-86.6,30.75,-86.59,30.76,1.8,170,Tornado,#008000,1995-10-04,11,1995,2896.812,122.0885737,4
104,1185,1995,11,10,1995-11-10,23:02:00,3,AR,5,2,1,2,2,0,0,0,0,0,-91.53,35.03,-91.4,35.05,8.5,100,Tornado,#008000,1995-11-11,23,1995,13679.39,71.81680806,3
115,1233,1995,12,19,1995-12-19,2:15:00,3,FL,12,2,1,1,0,1,0,0,4,0,-84.68,30.68,-84.67,30.69,0.3,50,Tornado,#008000,1995-12-19,2,1995,482.802,35.90840403,2
125,26,1996,1,26,1996-01-26,17:27:00,3,AL,1,1,3,1,0,1,0,0,0.1,0,-88.23,31,-88.23,31,2,500,Tornado,#0000FF,1996-01-26,17,1996,3218.68,359.0840403,4
126,38,1996,2,2,1996-02-02,17:15:00,3,FL,12,0,0,1,0,0,1,0,0.02,0,-81.65,29.78,-81.57,29.82,6.5,10,Tornado,#888888,1996-02-02,17,1996,10460.71,7.181680806,1
132,69,1996,3,6,1996-03-06,3:42:00,3,AL,1,3,40,4,2,2,0,0,8,0,-87.23,32.42,-86.97,32.5,19,400,Tornado,#FFAA00,1996-03-06,3,1996,30577.46,287.2672322,44
133,73,1996,3,6,1996-03-06,5:20:00,3,AL,1,2,17,2,0,2,0,0,1.5,0,-86.13,32.33,-86.08,32.38,4,200,Tornado,#008000,1996-03-06,5,1996,6437.36,143.6336161,19
144,180,1996,4,14,1996-04-14,18:10:00,3,AR,5,4,35,7,3,4,0,0,3,0,-92.35,35.82,-91.72,36.2,44,880,Tornado,#FF0000,1996-04-14,18,1996,70810.96,631.9879109,42
157,205,1996,4,19,1996-04-19,19:55:00,3,IL,17,3,13,1,0,0,1,0,0,0,-87.95,40.12,-87.95,40.13,2,1500,Tornado,#FFAA00,1996-04-19,19,1996,3218.68,1077.252121,14
166,1124,1996,4,21,1996-04-21,22:12:00,3,OK,40,3,89,2,2,0,0,0,150,0,-94.45,35.38,-94.28,35.52,10.1,1050,Tornado,#FFAA00,1996-04-22,22,1996,16254.334,754.0764846,91
168,730,1996,4,21,1996-04-21,23:15:00,3,AR,5,3,6,2,0,2,0,0,1,0,-93.77,35.77,-93.57,35.93,15,1050,Tornado,#FFAA00,1996-04-22,23,1996,24140.1,754.0764846,8
179,293,1996,5,12,1996-05-12,20:10:00,3,FL,12,0,0,1,0,1,0,0,0.05,0,-80.92,27.18,-80.83,27.25,0.1,20,Tornado,#888888,1996-05-13,20,1996,160.934,14.36336161,1
189,470,1996,7,18,1996-07-18,18:05:00,3,WI,55,2,1,1,1,0,0,0,0.45,0,-88.27,43.95,-88.17,43.9,6.4,200,Tornado,#008000,1996-07-18,18,1996,10299.776,143.6336161,2
220,834,1996,11,8,1996-11-08,4:35:00,3,GA,13,2,6,1,0,1,0,0,0.2,0,-83.17,32.38,-83.13,32.42,4,50,Tornado,#008000,1996-11-08,4,1996,6437.36,35.90840403,7
225,964,1996,11,30,1996-11-30,14:14:00,3,LA,22,2,9,2,0,0,2,0,2,0,-92.78,32.53,-92.67,32.63,10,250,Tornado,#008000,1996-11-30,14,1996,16093.4,179.5420202,11
227,980,1996,12,7,1996-12-07,13:58:00,3,FL,12,2,0,1,0,1,0,0,0.1,0,-82.3,27.83,-82.3,27.83,2,83,Tornado,#008000,1996-12-07,13,1996,3218.68,59.60795069,1
229,6,1997,1,4,1997-01-04,22:55:00,3,KY,21,1,2,1,0,1,0,0,0.05,0,-85.15,36.68,-85.15,36.68,0.3,100,Tornado,#0000FF,1997-01-05,22,1997,482.802,71.81680806,3
