om,yr,mo,dy,date,time,tz,st,stf,stn,mag,inj,fat,permanent_fat,mobile_fat,other_fat,unknown_fat,business_fat,church_fat,school_fat,permstructure_fat,outside_fat,vehicle_fat,male_fat,female_fat,unknown_gender,fat_under18,fat_18t44,fat_45t64,fat_over65,unknown_age,loss,closs,slat,slon,elat,elon,len,wid,fc,DateTim,Hour,Year,Length,Width,cas,AreaPth,Ma,ED,ID,TotalPp,TotalMl,MlUnd18,Ml18t44,Ml45t64,MlOvr65,TotlFml,FmlUn18,Fml1844,Fml4564,FmlOv65,White,Black,TtlHsnU,MoblHms,MdnIncm
6,1995,1,6,1995-01-06,22:15:00,3,NC,37,1,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5,0,34.7,-78.55,34.7001,-78.5499,2,150,0,1995-01-06 22:15:00,22,1995,3218.68,107.7252121,4,346732.9857,Jan,13335505911,2,0.0566962863,0.02824934477,0.007208988865,0.01154490446,0.006299622642,0.003077235237,0.02844694153,0.007169403866,0.01108350996,0.006662051066,0.003650570209,0.03568889816,0.01912263227,0.03579431108,0.01269817011,41093.599
12,1995,1,7,1995-01-07,3:50:00,3,FL,12,1,2,20,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,6,0,29,-82.12,29,-81.92,12,440,0,1995-01-07 3:50:00,3,1995,19312.08,315.9939555,21,6102500.548,Jan,402329283249,7,632.5729626,306.985441,67.43620139,96.36259871,69.96141914,73.46340909,325.5875215,71.85719801,98.14952065,77.67770751,77.66490808,585.5185146,27.67921037,295.2983816,132.3964704,43845.4837
27,1995,1,18,1995-01-18,13:55:00,3,LA,22,5,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,31.15,-92.5,31.2,-92.35,5,20,0,1995-01-18 13:55:00,13,1995,8046.7,14.36336161,1,115577.6619,Jan,5681775026,8,2.122665624,1.045432917,0.3113142649,0.3897418292,0.2173921866,0.1187947922,1.077232707,0.3118241754,0.4038436206,0.2265673671,0.1431873878,1.506258313,0.5862057461,0.8198653664,0.1294144148,44473.7131
41,1995,2,16,1995-02-16,4:59:00,3,AL,1,2,3,130,6,1,5,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,6,0,34.25,-86.58,34.27,-86.32,14,703,0,1995-02-16 4:59:00,4,1995,22530.76,504.8721607,136,11375153.48,Feb,983701687392,10,550.162828,264.3878421,70.83138482,102.1646052,58.74349654,34.80134374,285.7749859,69.71288233,108.3335269,61.47883044,44.09675805,510.7073694,27.86375701,230.6774937,40.47591044,41397.18667
102,1995,4,11,1995-04-11,4:15:00,3,MS,28,10,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,31.12,-90.05,31.12,-89.95,5,30,0,1995-04-11 4:15:00,4,1995,8046.7,21.54504242,1,173366.4928,Apr,8522662539,15,2.492456728,1.206164311,0.3818608969,0.4379897365,0.2421251446,0.1453496788,1.286292418,0.3808911448,0.4616021422,0.2597381445,0.1828998399,1.413253205,1.062944633,1.018431592,0.2696118127,30403.8255
232,1995,5,7,1995-05-07,0:40:00,3,TX,48,58,2,12,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5,0,34.98,-102,35.17,-101.87,12,200,0,1995-05-07 0:40:00,0,1995,19312.08,143.6336161,13,2773863.885,May,182876946932,25,1244.690657,597.8656741,149.9073176,264.3269305,122.2912726,70.00745184,646.8249831,146.2846836,277.8688493,127.6146876,86.38946431,1147.843329,20.85534214,573.7798952,15.5205878,64552.37835
240,1995,5,7,1995-05-07,15:10:00,3,TX,48,63,3,11,2,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,1,1,6,0,33.52,-97.53,33.8,-97.43,26,880,0,1995-05-07 15:10:00,15,1995,41842.84,631.9879109,13,26444169.04,May,2286841557359,26,114.1798629,56.4247882,15.84323965,19.00642355,12.90373759,8.083706386,57.75507469,16.21718731,19.76659325,12.96632172,9.392653438,111.8299295,0.04204126961,52.44444636,9.536213631,51847.05554
241,1995,5,7,1995-05-07,15:24:00,3,TX,48,64,3,6,3,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,3,8,0,33.8,-97.43,34.2,-97.17,34.1,880,0,1995-05-07 15:20:00,15,1995,54878.494,631.9879109,9,34682544.78,May,2999280657920,27,312.1736616,155.1476459,44.54550505,57.3819377,34.61067736,15.87498984,157.0260157,46.11058198,60.21041182,35.33642873,18.10312911,275.0249168,3.125866578,132.2103988,31.371011,47821.04943
366,1995,5,13,1995-05-13,21:58:00,3,IN,18,3,2,10,3,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,6,0,39.98,-86.9,39.97,-86.57,14,250,0,1995-05-13 21:58:00,21,1995,22530.76,179.5420202,13,4045218.166,May,266695547608,45,100.6557421,49.85600065,13.6199124,18.61418301,11.30512833,5.878347219,50.79974142,13.61143644,19.47921918,11.16076354,6.986751945,99.53411875,0.2196541391,38.80229795,3.075384362,63805.1366
474,1995,5,18,1995-05-18,15:52:00,3,TN,47,23,4,32,3,1,0,2,0,0,0,0,0,2,0,0,0,3,0,0,0,0,3,6,0,35,-87.48,35.35,-87.17,29,1000,0,1995-05-18 15:52:00,15,1995,46670.86,718.1680806,35,33517521.95,May,3284711577878,57,1203.067744,578.8289095,149.3119598,219.935625,132.7293224,81.41238947,624.2388343,148.4809267,226.8400943,140.0714664,104.2859598,1167.180611,20.18202415,513.9733452,49.57246164,44810.0164
